Original_Text,True_Label,Predicted_Label,Confidence (%),Text_Length
عبد السّالم المسدّي عالم من رواد اللّسانيات العربيّة الحديثة، استطاع استقطاب محاصيل علوم اللّغات األوروبية ودراسة مناهجها وأفكارها والغوص في خصائصها حبّا في التطلّع العلمي الجاد. هدفُه جلب المعارف العلميّة والمنهجيّة إلى حاضنة اللّغة العربيّة بما يفدها ويحفّزها. فهو مؤمن بضرورة الدّفع باللّسان العربي نحو مواكبة االنتقال اللّغوي العالمي الحديث في عصر تسوده خاصية التّطوّر والتقدّم. أبحاثُه في مجال اللّسانيات تدل على ذلك، وسنوضّح هذا في وقفة وصفيّة نحدّد من خاللها الشقّ النظري اللّساني عند األستاذ عبد السّالم المسدّي.,ai,human,92.06%,79
نشأت فلسفة التربية الغربية في سياقات تاريخية وثقافية أدت إلى القطيعة مع الدين وإنكار الوحي، وتقديس العقل والعلم التجريبي المحسوس بسبب الصراع بين رجال الكنيسة والعلماء. فتشكلت نظرتها إلى الله والكون والمعرفة والقيم على هذا الأساس وقد أثرت هذه الرؤية على النظم التربوية في كل دول العالم.ويرفض بعض المفكرين المسلمين تبني فلسفة التربية الغربية بكل حيثياتها، ويرون أنه يجب تأسيس فلسفة تربوية تنطلق من الرؤية القرآنية التي تضمنت رؤية شاملة عن إعداد الإنسان للحياة الدنيا والآخرة. وتقوم بضبط سلوكه في الكون والحياة بمفاهيم الاستخلاف والأمانة لتحقيق كمال العبودية، وبتحقيق الإنسان الذي يسعى إلى الكمال الإنساني سيبنى مجتمعا وأمة منتجة وعادلة عابدة لربها ومتطورة في كافة المجالات وبهذا ستساهم هذه النظرية في حل الأزمات الإنسانية..,human,ai,84.80%,114
تكمن مشكلة الشعرية في كونها تكتب سيرة ذاتية، بدلاً من كتابتها بسيرة ذاتية، لتحديد مكانة خاصة بها، لنفسها ومن أجلها. لذلك، فقد استثمرت في السرد، ككتابة؛ الآخر المختلف، الذي يتجاوز به فوبيا الذات إلى نوستالجيا الآخر؛ الذي يفتح آفاقاً تجريبية لا تنتهي، مما يساهم في خلق حركة دورانية، تحقق الانفراج عن المراوحة الموقعية التي تتكرر بين الآخر/السرد، والذات/الشعرية. بحيث تعيد نحت توقيع جديد للشعرية، ومنه كتابة هوية جديدة تخصها، وفق أعراف تحدد فعاليتها، ويتم تحديدها بدورها.,ai,human,97.93%,76
تهدف هذه الورقة البحثية إلى إبراز الحلول القانونية للنزاعات المتعلقة بالعقود والالتزامات الناتجة عن جائحة كورونا فيروس (كوفيد- 19)،وقد بيّنت الدراسة أن هذا الوباء العالمي هو عائق أمام تنفيذ العديد من العقود والالتزامات، مما أدى إلى ضرورة البحث عن حلول قانونية مناسبة، في ظل غياب نص صريح يعالج ذات الموضوع. وتوصّلت الدراسة إلى الكشف أن جائحة كورونا فيروس تعتبر قوة قاهرة أو حادثا مفاجئا في حالات معينة، وتعتبر ظرفا طارئا في حالات أخرى، وبالتالي يمكن تطبيق أحكام نفي المسؤولية للسبب الأجنبي، أو أحكام إعادة التوازن العقدي للظروف الطارئة، وفقا للمادة 107/3 من القانون المدني، متى توافرت شروط تطبيق كل منهما. إضافة إلى تطبيق أحكام قانونية أخرى يراها القاضي مناسبة.,human,ai,99.34%,109
فتحت بلاد المغرب في منتصف القرن الأول للهجرة على يد عقبة بن نافع الفهري ، على مرتين ليترك خلفه من يعلم أهل البلاد المفتوحة القرآن الكريم، ثم يليه موسى بن نصير مستتبًا للأمر ، فينتدب سبعة عشر فردا من جنده القراء إلى أنحاء المغرب لنشر تعاليم القرآن ، فكانت الركائز الأساسية الأولى لبناء وطن المغرب على قواعد الإسلام ، وبعدهما يأتي دور البعثة العمرية التي فقهت المغاربة وجعلتهم يتأثرون ويؤثرون ، فتحولت هذه الموجة العلمية مرتدة نحو المشرق متمثلة في طلبة علم مغاربة رحلوا لينهلوا من منابع العلم، علوم القرآن، ثم عادوا إلى أوكارهم ، روادا للعلم الشرعي وفي مقدمته علم القراءات.,ai,human,98.06%,102
النص القرآني هو نص معجز على جميع المستويات، الشكليّة واملضمونيّة، وهو كلام الله الذي لا يُعد ولا يُحصى. وقد تعدّدت أساليب البيان في النص القرآني، وتعدّدت معها مناهج البحث والدّراسة، التي حاولت وحتاول في كلّ مرّة كشف وجوه إعجازه، وبيان أسرار نظمه. وفي هذا السياق، تعدّ القصة القرآنية ملمحًا من ملامح ذاك الإعجاز. فقد اعتمد القرآن على أسلوب القصّ بشكل كبري، حيث أفردت له السورة الواحدة، كما نعثر عليه في ثنايا السور. وعلى العموم فقد ارتبط القصص القرآني بالإخبار عن أحوال األمم املاضية والنبوّات السّابقة. ولكن هذا لا يعين أنّه جمرّد سرد لأحداث تارخييّة مضى عليها الزّمن، أو جمرّد إمتاع للنفوس، لأنّ غايتها هي إمعان التّأمّل وأخذ العربة قصد اهلداية. ومن طرائق ذاك الصّوغ جند البناء على أسلوب احلوار الذي متظهر في أشكال خمتلفة، كاحلوار الذّاتّ ، واحلوار الثّنائيّ، واحلوار بني النيبّ املرسل وقومه، أو بني األنبياء واملالئكة. ينظر إلى القصة القرآنية باعتبارها إحدى أساليب الإقناع الأكثر فعاليّة في إحداث فعل التأثيري. وبالتايل يتّخذ القصص القرآني أبعادا تداوليّة مهمّة في الخطاب القرآني. وإذا كان حديثنا عن استراتيجية الإقناع فإنّنا نعين بذلك الإقناع بالحجاج، حيث يعدّ الحجاج عمليّة مقصودة في ذاتها غايتها التأثيري في المتلقي ومحله على الاقتناع، بالنظر إلى ما توفّره اللغة من وسائل وآليات. سنحاول من خلال هذه المداخلة تبيان ما هي أهمّ استراتيجيات الإقناع التي نعثر عليها في الخطاب القصصي القرآني وحتديدا في سورة آل عمران؟ كيف تتمظهر؟ وما هي فاعليتها في تحصيل الأثر التداولي المتمثل في التأثير والإقناع؟,ai,human,95.10%,231
ستخلص من الظواهر اللغوية المثيرة للاهتمام في العربية والتي تستدعي التوقف عندها هي استعمال ألفاظ الجسم لتأدية أغراض تعبيرية تنتمي إلى حقول معجمية أخرى. الدراسة التي بين أدينا ستُعنى ببحث دلالات كلمات مثل: رأس، هامة، وكذلك است، أذناب التي تستعمل للإشارة لمراتب اجتماعية. والسؤال الذي تحاول هذه الدراسة الإجابة عنه: هل نشأت هذه الألفاظ بمحض الصدفة، أم أنها نتيجة توجّه عام في هذا الحقل. تتطلب الإجابة عن هذا السؤال القيام بإجراء مسحي وإحصائي يهدف لمعرفة مدى تأثير معجم البدن حقل المراتب الاجتماعية.,human,ai,99.58%,82
"تُعتبَر الموسیقی من أهمّ العناصر في البناء الشعري ومن أقوی العناصر الإیحائیة التي تسترعي ذهن القارئ؛ وهی الأطار الفني الذي یجسّد تجربة الشاعر. من أبرز سمات الموسیقی إنّها تمیّز الشعر عن النص النثري. لأهمیة الموسیقی في الشعر نستطیع أن نتکلم عن جانبین للموسیقی وهما الموسیقی الخارجیة والموسیقی الداخلیة. اهتم أکثر الشعراء بهذین الجانبین في انشاد أشعارهم ومن أبرز الشعراء الذین اهتموا بالموسیقی في الشعر هو الشاعر المهجري میخائیل نعیمة. هذا البحث وفقاً للمنهج الوصفي - التحلیلي واستمداداً من الإحصاء یعالج الموسیقی الخارجیة والداخلیة في قصیدة ""النهر المتجمد"" للشاعر میخائیل نعیمة. تدرس هذه الدراسة في الموسیقی الخارجیة معرفة الأوزان والزحافات وحرکات الروي والقافیة ومن جهة الموسیقی الداخلیة تعالج التضاد والجناس والسجع وظاهرة التکرار وهي تشمل التکرار في الحرف، والکلمة والعبارة ودلالاتها.",human,ai,99.81%,120
قد أدى امتزاج الشعوب التي انضوت تحت سلطان الدولة العباسية في القرن الثالث الهجري إلى انصهار ثقافاتها، ما جعل المجتمع العربي الإسلامي الجديد يفرز بعض الظواهر التي لم يعهدها سابقًا، منها ظاهرة التصوف التي كان أبو يزيد البسطامي من أبرز أعلامها، وهو من أصل فارسي، جده كان مجوسيا وأسلم. وقد نشأ البسطامي في أسرة أفرادها زهاد أتقياء، مهدوا له طريق التصوف فسلكه منذ صغره. في هذا المقال حديثنا عن المكشوف والمحجوب بما يتلاءم والمدّ الصوفي.,human,ai,97.45%,75
"كانت ليبيا في نهاية القرن التاسع عشر، الجزء الوحيد من الوطن العربي في شمال أفريقيا الذي لم يتمكن الصليبيون الجدد من الاستيلاء عليه، وذلك لقرب ليبيا من إيطاليا جعلها هدفا رئيسا من أهداف السياسة الاستعمارية الإيطالية. وعلى ذلك فقد استطاعت إيطاليا، وهي الدولة التي كانت غير محسوبة في عداد الدول الكبرى آنذاك، أن تحصل على موافقة الدول الاستعمارية الأخرى لتنفيذ مشروعها لاحتلال ليبيا. وعبر اتفاقات مع بريطانيا وفرنسا وألمانيا والنمسا وروسيا خلال الأعوام 1898 – 1904م، استطاعت إيطاليا أن تضمن حرية العمل في ليبيا على طريق الاحتلال، وذلك من خلال مبدأ ""إن تعطني أعطك"" الذي تستخدمه دبلوماسية الدول الكبرى الاستعمارية.",ai,human,98.02%,100
يناقش نظام التقاضي الإلكتروني بين تحسين جودة العمل القضائي وتحديات الفضاء الرقمي، حيث يعتبر هذا النظام نتاج الثورة المعلوماتية والتطور التكنولوجي الهائل الذي أثرى منظومة القانون والقضاء، فقد اعتمدت أغلب التشريعات الدولية والداخلية هذا النظام لما يتصف به من سرعة في الفصل في القضايا وتخفيف العبء على المتقاضين وتحقيق العدالة الناجزة وتحسين جودة العمل القضائي، وتسعى هذه الدراسة إلى إعطاء تعريف لنظام التقاضي الإلكتروني وبيان المقومات والأسس التي يقوم عليها وإبراز مختلف التحديات والصعوبات التي تعترض تطبيقه، من خلال ثلاث محاور رئيسية، حيث خلصت الدراسة إلى أن نظام التقاضي الإلكتروني يثير عدة إشكالات بخصوص المقومات الأساسية التي يقوم عليها ومدى احترامه لضمانات المحاكمة العادلة وحقوق وحريات المتهم والاقتناع الشخصي للقاضي، بالإضافة إلى الجرائم الإلكترونية في مجال التقاضي الإلكتروني.,ai,human,98.18%,118
تعتبر الطاقة مطلباً ضرورياً للتطور الاقتصادي والاجتماعي المستدام، حيث يمثل توفير وتأمين الوصول لمصادرها من القضايا الهامة على مستوى العالم. وقد تزايد الاهتمام العالمي حالياً إلى تنويع وتجديد مصادر الطاقة وخاصة المصادر المتجددة وذلك لتقليل الاعتماد على مصادر الطاقة التقليدية المهددة بالزوال ومواجهة التهديدات البيئية والتطورات الاقتصادية التي تتزايد يوماً بعد يوم. لذلك تأتي هذه الورقة البحثية لتنظر في إمكانيات الطاقة المتجددة في العالم وكذا في العالم العربي، وما يمكن أن تلعبه في تنويع المزيج الطاقوي، وكذا تأمين وتوفير الإمدادات سواء محلياً أو إقليمياً أو دولياً. وقد خلصت الدراسة إلى أن الوطن العربي يمتلك من الإمكانيات ما يمكن أن يكنون رائداً في مجال الطاقات المتجددة، إذا اتبع سياسات ناجعة يكون الهدف منها التطبيق الفعلي لها.,ai,human,97.19%,115
تعدّؤ تيمة الحقيقة المحمدية من بين أهم النظريات التي أنتجها العرفان الصوفي، في مراحل زمنية مختلفة، مرتبطة منذ البداية بالنظرة إلى الكمال من البشر، فانتقلت من وصف الولاية في صيغتها الشرعية، المنصوص عليها في الكتاب والسنة، ثم ما لبثت أن تطور مدلولها مع الأطروحات الصوفية المتقدمة، وبخاصة مع الحلاج، ووصلت مرحلة النضج مع ابن عربي والقونوي والجيلي، والتي أعيدت صياغتها انطلاقا من النظرة الصوفية المستحدثة للذات النبوية في شقها الروحي النوراني، فخرج بذلك الطرح الصوفي من النظرة التقليدية التي اقتصدت في رؤيتها للذات النبوية، إلى فضاءات ابستيمولوجية وأنطولوجية وسيكولوجية أعمق.,ai,human,97.02%,90
هدفت هذه الدراسة إلى الكشف عن مستوى صعوبات الكتابة لدى تلاميذ المدارس الابتدائي بولاية عين تموشنت. تم تطبيق اختبار صعوبات الكتابة (صليحة بوزيد 1991)، بعد التأكد من صدقه وثباته، على عينة تبلغ 111 تلميذا من تلاميذ مدرستين بولاية عين تموشنت، تم اختيارها بطريقة قصدية.أظهرت نتائج الدراسة، أن تلاميذ الطور الابتدائي بعين تموشنت لا توجد لديهم أي صعوبات في الكتابة سواء في التنظيم أو التشوهات المصاحبة للكتابة، وأن مستواهم في الكتابة فوق المتوسط. كما بينت النتائج عدم وجود فروق ذات دلالة إحصائية لدى عينة الدراسة باختلاف المستوى والمدرسة، في حين توجد اختلافات في صعوبات الكتابة بين الجنسين لصالح الذكور.وفي الأخير تمت مناقشة هذه النتائج في ضوء الإطار النظري والدراسات السابقة، وعرضت بعض التوصيات والمقترحات المتعلقة بالموضوع.,human,ai,99.41%,115
كتابة، أو الرسم أو الخط، ترجمة الكلام المسموع برسوم وأشكال. أو بتعبير آخر هي تصوير ألفاظ لغة بحروف هجائية. يُطلَق أيضا على الكتابة التي تعتمد الحروف تسمية الألفباء أو الألفبائية. ويمكن تقسيم الكتابة أو الألفبائية إلى أنواع هي: الكتابة الإملائية، وهي موجودة في كل لغات العالم. الكتابة العثمانية خاصة بالقرآن الكريم. الكتابة العروضية، المتبَعة أثناء عملية تقطيع البيت الشعري. وهي نوعان: كتابة عروضية حرفية، كتابة عروضية ثنائية الرمز.وتوجدان في اللغة العربية فقط. الكتابة الصوتية، وهي نوعان: عربية ودولية (واسعة أو صوتية، وضيقة أو فونولوجية). الكتابة البريلية أو طريقة بريل، خاصة بالعميان. الكتابة المورسية. وهذه الكتابات كانت قديما ولا زلت حاليا تُعَدُّ وسائل لمختلف التواصلات بين بني البشر..,human,ai,76.31%,107
"ظهرت عبارة ""مبدأ المسؤوليات المشتركة ولكن المتباينة"" في بداية سبعينات القرن الماضي، حيث أعلن مؤتمر البيئة البشرية الذي عُقد في ستوكهولم في عام 1972 أن حماية البيئة تعد ""مسؤولية مشتركة"" لكافة البشرية؛ وأشار المؤتمر إلى أن مشاكل البيئة في الدول النامية ""تعود لحد كبير إلى التنمية غير الكافية""، وذلك يعتبر الشكل الأولي لمفهوم ""المسؤوليات المشتركة ولكن المتباينة"". في عام 1992، أوضح البند الرابع من «الإتفاقية الإطارية للأمم المتحدة بشأن التغيرات المناخية» هذا المبدأ بشكل رسمي. ودعا هذا المبدأ الدول المتقدمة إلى ضرورة المبادرة أولا في تخفيض الانبعاثات وتقديم الدعم المالي والفني للدول النامية؛ بينما على الدول النامية أن تعمل على تحقيق التنمية الاقتصادية والاجتماعية والقضاء على الفقر وتعتبر ذلك الشغل الشاغل لها، وتتخذ إجراءات لتخفيف تغير المناخ أو التكيف معه في حالة حصولها على الدعم الفني والمالي.",human,ai,99.49%,127
"تعتبر كتابة ""المذكرات"" جنساً أدبياً جديداً في الأدب العربي، فقد بدأت الكتابة في هذا الشكل الإبداعي في القرن العشرين، غير أنّ هناك العديد من الكتابات التراثية التي يمكن وصفها بأنّها إرهاصات لهذا الجنس الأدبي الوليد، بسبب تمحورها حول المشاهدات الذاتية، حيث يتحوّل الكاتب إلى راوٍ، ينقل الواقع إلى القراء بوصفه شاهد عيان. ويمكننا أن نجد هذا النمط الكتابي لدى المؤرخين والإخباريين وكتّاب السير الذاتية، مثلما نلمس ذلك في كتاب أحمد بن سحنون الرّاشدي الذي وثّق يوميات الحملة العسكرية التي قام بها محمد بن عثمان الكبير لتحرير مدينة وهران من الاحتلال الإسباني، المسمّاة ""الثغر الجماني في ابتسام الثغر الوهراني"".",human,ai,99.12%,98
حظيت العقيدة الأشعرية باهتمام مجتمع المغرب الأوسط وجعلوها اختيارهم العقدي بجانب الفقه المالكي والطريقة الجنيدية في التصوف، حيث انعكست في تفكيرهم بفضل شخصية الإمام الغزالي ( ت505ه) في البداية، ثم شهدت مرحلة إبداعية تجديدية تكفّل بها محمد بن يوسف السنوسي(ت895ه) حين صاغ مؤلفات عقدية مع شروح تفصيلية لها بُغية إرساء المجتمع على ساحل الأمان العقدي ورفع الغشاوة عن القلاقل العقدية وبسط السكينة المعرفية في فكرهم.كما سعينا لانتقاء بعض الأفكار التي تخص هذه العقيدة وتُعدّ بنودا فيها تعكس حقيقة الانتماء إلى هذا الفكر، ولعلّ الأنموذج الذي قدّمنا عنه إضاءات خافتة عن فكره وطرحه عبد الرحمن ابن خلدون (ت808ه).,human,ai,96.01%,97
"تعتبر كتابة ""المذكرات"" جنساً أدبياً جديداً في الأدب العربي، فقد بدأت الكتابة في هذا الشكل الإبداعي في القرن العشرين، غير أنّ هناك العديد من الكتابات التراثية التي يمكن وصفها بأنّها إرهاصات لهذا الجنس الأدبي الوليد، بسبب تمحورها حول المشاهدات الذاتية، حيث يتحوّل الكاتب إلى راوٍ، ينقل الواقع إلى القراء بوصفه شاهد عيان. ويمكننا أن نجد هذا النمط الكتابي لدى المؤرخين والإخباريين وكتّاب السير الذاتية، مثلما نلمس ذلك في كتاب أحمد بن سحنون الرّاشدي الذي وثّق يوميات الحملة العسكرية التي قام بها محمد بن عثمان الكبير لتحرير مدينة وهران من الاحتلال الإسباني، المسمّاة ""الثغر الجماني في ابتسام الثغر الوهراني"".",human,ai,99.12%,98
يعتبر عموم المشترك من المسائل الأصولية التي اختلف فيها أئمة الأصول بعد اتفاقهم على وقوع الاشتراك في كلام العرب ووروده في القرآن والسنة. وكان لاختلاف الأصوليين في هذه المسألة ظلال على اختلاف الفقهاء في قضايا فقهية. فجاء هذا البحث ليسلط الضوء على مسألة عموم المشترك من جهة التأصيل لهها ومن جهة بيان بعض ما بُني عليها من الفروع الفقهية. واعتمد البحث على المنهج الاستقرائي من أجل جمع وحصر الآراء الأصولية ونسبتها إلى أصحابها. كما اعتمد على المنهج التحليلي والمقارن وذلك بغية فهم مقاصد الأصوليين ومناقشة أدلة كل فريق في ضوء قواعد الفقه المقارن. وانتهى البحث إلى أن المشترك يجوز أن يطلق لغة على كل معنى من معانيه على سبيل البدل، بدليل الوقوع، أما إرادة جميع المعاني منه في نص واحد، فمخالفة لوضعه في اللغة. ثم إن البحث قدّم عشرة أمثلة كتفريع فقهي على هذا الأصل المختلف، والتي تبين أن الاختلاف الأصولي في موضوع البحث خلاف حقيقي وليس خلافا صوريا.,human,ai,51.39%,149
"يعد البحث مساهمة في تطوير وتحسين مناهج العلوم الفيزيائية والتكنولوجيا لمرحلة التعليم المتوسط بالجزائر. لتحقيق أهداف البحث أجرى الباحثون اختبارا لمحتوى معدّل في مادة الكيمياء وقياس مدى فعاليته على تحصيل التلاميذ. بلغت عينة البحث التجريبي مائتين واثنين (202) تلميذ وتلميذة من ثلاث مستويات من مرحلة التعليم. تتلخص طريقة العمل في تصميم وإعداد بطاقات تدريس للمحتوى ودليل للأستاذ لتطبيق اختبار المحتوى المعدّل في صفوف الدراسة، وفي إجراء اختبار تحصيلي للتلاميذ. أظهرت النتائج وجود فروق ذات دلالة إحصائية عند مستوى دلالة 0,01 بين متوسط تحصيل تلاميذ المجموعة التجريبية ومتوسط تحصيل تلاميذ المجموعة الضابطة، ووجود ارتباط طردي عند نفس الدلالة الإحصائية بين متغير التحصيل للمجموعة التجريبية ومتغير المنهاج، وانعدمت الفروق بين تحصيل البنات وتحصيل الذكور. من النتائج يرى الباحثون ضرورة تطبيق المحتوى المعدّل من المنهاج على عينات أكبر وفي شتى المناطق من الوطن لكي يُتَبَنى في عمليات مراجعة وتحيين مناهج العلوم الفيزيائية والتكنولوجيا لمرحلة التعليم المتوسط بالجزائر.",human,ai,98.54%,144
تهدف هذه الدراسة إلى بيان صيغ التمويل القائمة على المشاركة في المصارف الإسلامية، من خلال تعريف كل صيغة على حدة وبيان شروطها ومشروعيتها، والفرق بينها وبين الصيغ في البنوك التقليدية. وقد توصلت الدراسة إلى أن الفرق بين الصيغ التمويلية في المصارف الإسلامية والتقليدية هو حول العلاقة بين الدائن والمدين، حيث تعتمد في المصارف الإسلامية على المشاركة في الربح والخسارة وليست علاقة دائن بمدين، أما الصيغ في البنوك التقليدية فهي تقوم على معاملات مبنية على الربا ، حيث تعتمد على جني أرباحها من الفرق بين الفائدتين الدائنة والمدينة.,human,ai,91.62%,87
"تهدف هذه الورقة إلى إعادة النظر في الدراسات النقدية التي اهتمت بالسرد العربي باعتباره مقولة تندرج ضمن ""الأدب الشعبي"" بغية تحديد المفاهيم المتعلقة بنظرية الأجناس الأدبية ومحاولة تتبع منطق التفكير لدى النقاد العرب في معالجتهم لهذه النظرية التي كانت محكومة في الغالب بالدفاع عن الفكر العربي والمنتج الأدبي على أنهما عرفا القصة والخبر منذ القدم متجاوزة بذلك خصوصية الطرح النظري والهدف منه بحيث وقعت جل هذه الأبحاث في ضبابية المفاهيم وعدم ضبطها ويرجع ذلك في الغالب إلى تنوع مرجعياتها النظرية التي لم تخرج عن كونها وصفية أو تاريخية.",ai,human,98.20%,88
يحتلّ موضوع الطفولة لدى الكتّاب الجزائريين أهمية خاصّة ، وهو اهتمام هذه المداخلة التي تبحث في كيفية تقديم السّرد الجزائري للطفل ،عند بعض الكتّاب الذين وظّفوا هذا الموضوع أمثال عبد الله ركيبي وزهور ونّيسي وجمال فوغالي وعبد الحميد بن هدوقة وآخرين .يلاحظ أنّ شخصية الطفل وردت بأشكال مختلفة ، ففي النّصوص التي ارتبطت بموضوعة الثّورة التّحريرية ،كان الحضور ماديًا وظيفيا ،قائمًا على المشاركة في الفعل الثّوري ، وغالبا ما تشكّل الشَّخصية ترجماناً للمرجع أو الإيديولوجيا المهيمنة على الكتابة وهي سمة مائزة لهذه النصوص .أمَّا الشّكل الآخر فهو التجلّي الرمزي الأيقوني ، حيث لا يشارك الطفل في المنجز الثّوري المادّي وإنّما يقوم بتعضيده وتقوية أبعاده الإشارية والرّمزية عبر المشاركة في إنتاج الدلالة بما يوحي بالوعي به وقيمته الأخلاقية الكبيرة.,human,ai,99.40%,118
يعالج موضوع مضامين النصوص الخطابية في ظل الأنظمة الاذاعية والتلفزيونية، طبيعة العلاقة القائمة بين مضامين هذه النصوص المسموعة والمرئية والجمهور المتلقي، من حيث الوقوف عند التأثير الذي تمارسه على مستوى التلقي، خصوصا مع مرحلة التحوّل التي طرأت على بنيات النص المرئي والمسموع، بما آلت إليه من تأثيرات في القيم والمعتقدات والسلوكيات. لهذا، فقد انصبّ اهتمام الباحثة من خلال هذه الدراسة على رصد أثر وتجليات مضامين وسائل الاتصال الجديدة على جمهور المستهلكين في مجتمعات عالم الجنوب. وقد أسفرت الدراسة عن نتائج جوهرية أهمّها، أنّ هناك محاولة لإعادة بناء عالم جديد ينبني على إقحام المجتمعات العربية الإسلامية والتي تعيش محيطا مغايرا. على هذا الأساس، يستوجب إنشاء نظام إعلامي عالمي عادل بين شعوب دول عالم الشمال والجنوب، يأخذ في الحسبان أهمية الاختلاف في الظروف المحيطة بالجمهور المتلقي. الكلمات المفتاحية: المضامين؛ الأنظمةالإذاعية والتلفزيونية؛ الجمهور المتلقي؛ الأثر؛ التجليات؛.,human,ai,97.76%,133
تتناول هذه الدراسة أهم مظاهر التضامن الأهلي الجزائري مع الدولة العثمانية باعتبارها عاصمة الخلافة الإسلامية وحليفتها ألمانيا خلال الحرب العالمية الأولى. حيث تنوعت مظاهر هذا التضامن وأشكاله من تعاطف شعبي عكسته القصائد والأغاني واقتناء صور الزعماء و رموزهم (شعاراتهم) إلى تشكيل خلايا سرية لإثارة التمردات وإزعاج النفوذ الفرنسي وتحريض الجنود الجزائريين على الفرار من المعسكرات الفرنسية والالتحاق بالمعسكرات الألمانية. كما حاولت الدراسة إبراز مدى أهمية وخطر هذا التضامن على المصالح الفرنسية وموقف السلطات الفرنسية من ذلك.,human,ai,100.00%,76
تواجه الجزائر حالة من انعدام الأمن الغذائي، تتميز بالاعتماد الكبير على الأسواق الخارجية، وذلك بسبب عدم كفاية الإنتاج المحلي، ما يعرض البلاد إلى أخطار حقيقة تتمثل في عدم استقرار أسواق المواد الغذائية، ارتفاع قيمة الواردات وتقويض التوازن الاقتصادي العام للبلاد. العديد من الَشُعب الإنتاجية تعاني من عدم القدرة على تلبية الاحتياجات المتزايدة للسكان، لا سيما في ما يخص الحبوب، الأعلاف و الحليب. إظافة إلى ذلك، الأمن الغذائي للمواطنين غير كاف من حيث الجودة الغذائية. في سياق الزراعة ضعيفة الإنتاج و اقتصاد موجه نحو المحروقات، يعتبر البحث عن تحسين الإنتاجية كأحسن طريق لتحقيق الأمن الغذائي و الاستقرار الاجتماعي للبلاد.,human,ai,99.56%,98
ضمّن الخطاب الرّوائي الجزائري المعاصر في روايتي الانفجار وخيرة و الجبال لمحمد مفلاح تيمة الثورة ،صورة الآخر والمرأة خلال فترة التحرير ناظرا لها ومنظورا لفكرة المشاركة مع الرجل في النضال تصويرا وكشفا ووعيا بتاريخ الجزائر وربطا للماضي بالحاضر فحملت مضامينه سمات البطولة والشجاعة استعدادا لمواجهة الآخر في صور للكره و العداء لمغتصب القومية و الأرض .كما كشف الخطاب الثوري صورة المرأة الجزائرية خلال هذه الفترة في ثورتها الذاتية ضد العادات و التقاليد التي فرضتها النواميس المجتمعية ، وفي وعيها بقضية التحرّر تصويرا للتحوّلات التي شهدتها هذه المرأة أثناء الثورة.,human,ai,97.94%,89
حصر المشرّع التبليغ الرسمي من اختصاصات المحضر القضائي، بحسب المادة 406 من قانون الإجراءات المدنية و الإدارية، وطوال عقد من سريان أحكام قانون الإجراءات المدنية و الإدارية على التبليغات الرسمية، كشفت التجربة العملية، إشكالات عملية أثناء مباشرة إجراءات التبليغ القانوني في المواد المدنية، سواء من القائم بالتبليغ أو المبلغ له، أو من خلال الطرق البديلة والخاصة للتبليغ القانوني، لم تجد لها حلولا من خلال النصوص القانونية، لتطرح أمام القضاء للاجتهاد فيها، كما كشفت التجربة أثناء مباشرة إجراءات التبليغ القانوني في المواد الجزائية، عوائق مهنية وصعوبات مالية، تقف في طريق التقليل من صدور الأحكام الغيابية، وتتعارض مع مبدأ الوجاهية التي يقوم عليها قانون الإجراءات المدنية والإدارية، فتح مجال التبليغ القانوني أمام هيئات إدارية تتولى هذه المهمة، في ظل الحديث عن التبليغات الالكترونية.,ai,human,97.78%,121
تهدف هذه الدراسة إلى البحث في دور الخدمات الوقفية في بلاد الشام خلال العهد المملوكي (648ـــــ 923هــ/1260ــ 1516م )، حيث تسلط الضوء على الدور المحوري الذي قامت به الخدمات الوقفية خاصة عندما توسعت لتشمل الخدمات الاجتماعية المختلفة من رعاية الفقراء والأيتام والأرامل وإقامة دور الضيافة المختلفة، وتزويج العزاب والعناية بالمسجونين وتقديم الرعاية الاجتماعية لهم، وتوفير مياه الشرب وتعبيد الطرق ودعم طلبة العلم وغيرها من الخدمات الأخرى التي لعب فيها الوقف دورا كبيرا.وقد أكدت نتائج هذه الدراسة أن الخدمات الوقفية في بلاد الشام قد مست سياقات شتى من الحياة الاجتماعية، وشملت شرائج عديدة من المجتمع، وقد كان للجانب الديني دور متميز في إنعاش نشاط هذه الخدمات الوقفية من خلال النظرة الإنسانية للإسلام ودعوته للتكافل الاجتماعي بين أفراد المجتمع الواحد.,human,ai,98.95%,118
